objectid,filename,title,creator,date,description,subject,location,source,identifier,type,format,language,rights,rightsstatement,item_information
smlh001,slhm1.mp3,asheville junction ,"brown, frank clyde, collector, and love, will shorty, performer",1939,"1939, december 9, performance of swannanoa tunnel by will 'shorty' love at duke university. this is the only performance of swannanoa tunnel by a black person.",labor songs; united states; work songs; united states,"durham county, north carolina, united states","duke university libraries, repository collections & archives",asheville junction,audio,audio/mp3,eng,public domain,,audio recording
smlc02,slhm2.mp3,swannanoa tunnel,"lunsford, bascom lamar ",1935,"1935,         
these performances are a sampling of the 300 plus songs and tunes lunsford recorded for columbia university in 1935 at age 53.",labor songs; united states; work songs; united states,"columbia university, new york city, new york, united states ","appalachian college association, digital library of appalachia",swannanoa tunnel,audio,audio/mp3,eng,creative reuse ,"        
this resource is provided for educational purposes. please cite all references to this item",audio recording
smlh03,slhm3.mp3,got a few more days,"lomax, john a., 1867-1948
lomax, ruby t.
hains, r. c., red",1939,"performance note: ""got a few more days"" performed by r. c. ""red"" hains (vocals) at cummins state farm, camp #1, near varner, arkansas, on may 21, 1939.",united states; arkansas; lincoln county; varner; songs; field hollers ,"varner, arkansas, united states ",american folklife center,"labor song performance, got a few more days ",audio,audio/mp3,eng,public domain,"the library of congress is not aware of any u.s. copyright protection (see title 17, u.s.c.) or any other restrictions in the material in this collection, except as noted below. users should keep in mind that the library of congress is providing access to these materials strictly for educational and research purpose",audio recording
smlh04,slhm4.jpg,"son of farmsteader at roanoke farms, north carolina
","vachon, john, photographer",1938,photo shows an african american farmer preparing a field for planting with a disc harrow pulled by two mules.,united states; north carolina; halifax county; enfield; roanoke farms; north carolina,"roanoke farms, north carolina, united states ",library of congress,photo of black farmer,photo,image/jpeg,eng,public domain,no known restrictions,single-page; photographs
smlh05,slhm5.pdf,"swannanoa tunnel, u.s route 70, ridgecrest, buncombe county, nc","historic american engineering record, creator
salisbury, d c
swepson, george w
littlefield, milton s
aldrich, l s
wilson, james w
miller, henry m
atkinson, roger p
coleman, thaddeus
best, william j
o'bannon, patrick w, historian",1968,significance: longest railroad tunnel on western north carolina railroad; significant early use of nitroglycerin; major utilization of convict labor,north carolina; buncombe county; ridgecrest; tunnels ,"swannanoa tunnel, u.s. route 70, ridgecrest, buncombe county, nc",library of congress,swannanoa tunnel documentation,text,image/jpeg,eng,unrestricted ,no known restrictions,single-page; photographs
smlh06,slhm6.jpg,"english folk songs from the southern appalachians, pg 263 'swannanoa town' ","sharp, cecil james, campbell, olive arnold dame",1917,"english folk songs from the southern appalachians
collected by cecil j. sharp; comprising two hundred and seventy-three songs and ballads with nine hundred and sixty-eight tunes, including thirty-nine tunes contributed by olive dame campbell. edited by maud karpeles.",folk songs; english; ballads; english; folk songs; united states; sheet music,"new york city, new york, united states and london, uk",new york public library via internet archive,swannanoa town music sheet,photo,image/jpeg,eng,creative reuse ,no known restrictions,single-page; photographs
smlh07,slhm7.jpg,boudoir cabinet card of convict laborers at swannanoa Cut,"lindsey, thomas h., american",1885,"a sepia tone boudoir photography card of a group of convict laborers at swannanoa cut, asheville, north carolina. captured by t. h. lindsey, and part of lindsey’s “views” series, the image depicts men wearing hats and striped jumpsuits standing in a line with an in‑progress rail track in front of them and sheer cliffs behind them. they hold lunch pails, tin dishes, and shovels. two armed guards stand down the track on the right of the photograph. several shovels stick out of the rocky ground on the right of the photograph. at the bottom of the photograph, a white ink caption reads: 613. convicts in line at swannanoa cut.","american south;
labor;
men;
photography;
prisons;
u.s history","asheville, buncombe county, north carolina, united states","smithsonian, national museum of african american history & culture",photo of swannanoa tunnel laborers ,photo,image/jpeg,eng,public domain ,"public domain
proper usage is the responsibility of the user",single-page; photographs
smlh08,slhm8.jpg,bob and his fiddle,"havens, o. pierre, american",1888,"A stereograph titled ""Bob and His Fiddle"" printed and photographed by O. Pierre Havens of Savannah, Georgia. The albumen prints depict a boy holding a homemade fiddle while seated outside a small log dwelling. He wears a white shirt, dark vest, dark pants, and no shoes. His hat is lying on the ground by his left foot. He looks down at the fiddle held in his left hand and propped on his left shoulder, while holding a bow made from string and a bent stick in his right hand over the strings of the fiddle. The title is blurred and printed in the bottom left corner on the right facing print. ","american south;
child musicians;
children;
music;
photography;
reconstruction","savannah, chatham county, georgia, united states
united states","smithsonian, national museum of african american history & culture","young boy plays a fiddle in savannah, georgia, usa",photo,image/jpeg,eng,public domain,"public domain
proper usage is the responsibility of the user",single-page; photographs
smlh09,slhm9.jpg,albumen print of a sharecropping family,unidentified,1880,"an albumen print mounted on dark gray pasteboard depicting a family or group of unidentified people, likely sharecroppers, standing outside in front of a row of small houses. the unidentified people include two adult men, four adult women, and four children. the four women stand in the center; the woman at far left wears a hat and dark-colored sweater, and the woman at the far right holds a baby in her arms. the women are flanked by the two men. both men wear hats, and the man on the far right holds a pipe in his mouth. there are three additional young children standing among the group: one, in a hat, stands next to the woman in the hat, another peers out from between the two women at center, and the third stands in front of the woman holding the baby. two pigs are in the foreground in front of the group of people, while a third pig stands near a fence in the right background. along the right side of the photograph is a row of three identical small dwellings, each with a peaked roof and a front porch. the pasteboard mount has been cut off along the left side of the print.","agriculture;
american south; domestic life;
emancipation; photography
reconstruction; rural life;
slavery",united states ,"smithsonian, national museum of african american history & culture","family or group of unidentified people, likely sharecroppers, standing outside in front of a row of small houses",photo,image/jpeg,eng,public domain,"public domain
proper usage is the responsibility of the user",single-page; photographs
smlh10,slhm10.jpg,the emancipation car,printed by sullivan and brown,1874,"the emancipation car: being an original composition of anti-slavery ballads, composed exclusively for the underground railroad","american colonization society;
slavery; united states","zanesville, ohio, united states","schomburg center for research in black culture, manuscripts, archives and rare books division, the new york public library",anti-slavery ballads,photo,image/jpeg,eng,public domain,"the new york public library believes that this item is in the public domain under the laws of the united states, but did not make a determination as to its copyright status under the copyright laws of other countries.",single-page; photographs
